type	ts	dur	durz	F0	F0z	F1	F1z	F2	F2z	F3	F3z	dF0	dF0z	dF1	dF1z	dF2	dF2z	dF3	dF3z	dqF0	dqF0z	dqF1	dqF1z	dqF2	dqF2z	dqF3	dqF3z	sdF0	sdF0z	sdF1	sdF1z	sdF2	sdF2z	sdF3	sdF3z	score
fp	1.248	0.272	1.076	18.570	1.007	9.809	2.084	12.264	0.004	16.622	0.664	-1.251	-1.007	2.956	2.218	0.367	-1.079	0.435	-0.241	4.516	-0.218	1.233	-1.133	1.502	-0.431	0.568	-0.883	1.569	-0.217	0.454	-1.049	0.403	-0.677	0.182	-0.828	3.835
?	1.888	0.152	-0.515	17.388	0.265	5.156	-0.871	14.402	1.375	16.184	-0.132	-0.069	-0.265	1.599	0.070	1.951	0.739	0.116	-1.199	13.727	1.242	1.023	-1.287	0.715	-0.968	0.395	-1.102	3.463	0.725	0.299	-1.342	0.215	-1.088	0.126	-1.018	1.482
?	2.112	0.216	0.334	18.605	1.029	6.764	0.150	13.731	0.945	16.559	0.550	-1.287	-1.029	1.932	0.597	1.321	0.015	0.581	0.199	3.683	-0.350	4.930	1.564	2.114	-0.013	2.796	1.945	1.361	-0.321	2.130	2.133	0.804	0.198	0.793	1.251	1.356
?	2.496	0.120	-0.939	17.464	0.313	5.403	-0.714	10.762	-0.958	16.112	-0.262	-0.145	-0.313	1.269	-0.453	1.664	0.410	0.332	-0.550	1.898	-0.633	1.092	-1.236	3.837	1.163	0.964	-0.380	1.428	-0.288	0.308	-1.325	1.353	1.397	0.352	-0.249	0.579
?	2.720	0.296	1.394	18.965	1.255	7.243	0.454	10.594	-1.066	16.232	-0.044	-1.646	-1.255	1.686	0.207	1.808	0.575	0.234	-0.845	11.305	0.858	4.903	1.544	3.149	0.693	0.894	-0.469	4.108	1.047	1.876	1.652	0.903	0.415	0.279	-0.496	2.333
?	3.240	0.128	-0.833	17.643	0.425	7.209	0.433	9.223	-1.945	17.343	1.975	-0.324	-0.425	0.721	-1.320	3.099	2.057	0.987	1.422	8.953	0.485	2.327	-0.335	1.128	-0.687	1.564	0.381	2.806	0.398	0.798	-0.395	0.387	-0.714	0.459	0.114	1.352
?	3.536	0.104	-1.151	16.441	-0.330	8.085	0.989	12.549	0.187	16.381	0.227	0.878	0.330	1.386	-0.267	0.440	-0.996	0.284	-0.694	13.931	1.274	3.751	0.704	1.057	-0.735	0.740	-0.664	6.530	2.252	1.244	0.451	0.415	-0.652	0.263	-0.552	2.527
fp	3.664	0.288	1.288	15.998	-0.609	8.414	1.198	12.233	-0.015	15.731	-0.955	1.321	0.609	1.596	0.066	0.960	-0.399	0.542	0.083	13.728	1.242	2.823	0.027	2.620	0.333	1.252	-0.014	4.575	1.279	0.921	-0.162	1.052	0.739	0.322	-0.352	3.258
fp	4.016	0.152	-0.515	14.063	-1.824	6.352	-0.112	12.675	0.268	16.044	-0.386	3.256	1.824	0.642	-1.445	0.352	-1.097	0.356	-0.476	1.528	-0.691	2.114	-0.490	0.948	-0.809	1.556	0.372	0.581	-0.709	0.647	-0.682	0.356	-0.780	0.640	0.730	3.525
?	4.688	0.120	-0.939	18.082	0.700	6.705	0.113	10.902	-0.868	16.632	0.683	-0.763	-0.700	0.665	-1.408	1.282	-0.029	0.357	-0.474	2.888	-0.476	2.414	-0.272	1.364	-0.525	0.679	-0.742	1.049	-0.476	0.765	-0.459	0.494	-0.478	0.210	-0.731	1.920
?	4.968	0.056	-1.788	17.516	0.345	4.319	-1.402	12.925	0.428	15.937	-0.581	-0.197	-0.345	2.478	1.461	0.583	-0.832	0.446	-0.206	0.452	-0.862	2.028	-0.553	1.391	-0.507	0.942	-0.407	0.234	-0.882	0.665	-0.647	0.455	-0.564	0.292	-0.451	0.477
?	5.160	0.224	0.440	18.615	1.035	5.474	-0.669	14.689	1.559	16.719	0.841	-1.296	-1.035	1.682	0.202	2.268	1.103	0.388	-0.380	2.181	-0.588	2.116	-0.489	1.633	-0.341	0.597	-0.845	0.890	-0.555	0.781	-0.427	0.542	-0.375	0.196	-0.779	1.378
?	5.504	0.248	0.758	19.781	1.768	5.576	-0.604	12.891	0.407	15.938	-0.580	-2.462	-1.768	1.631	0.121	0.816	-0.564	0.423	-0.277	3.363	-0.401	3.524	0.538	3.407	0.870	1.272	0.011	1.114	-0.443	1.377	0.704	0.990	0.605	0.428	0.008	1.795
?	5.968	0.128	-0.833	17.512	0.343	7.186	0.418	10.624	-1.047	17.017	1.383	-0.193	-0.343	0.706	-1.343	1.373	0.076	0.749	0.705	1.518	-0.693	2.185	-0.438	1.772	-0.247	1.034	-0.290	0.515	-0.742	0.708	-0.566	0.673	-0.088	0.352	-0.249	1.932
?	6.272	0.088	-1.363	16.140	-0.519	4.658	-1.187	12.586	0.211	15.385	-1.586	1.178	0.519	2.151	0.944	0.541	-0.879	0.658	0.431	1.590	-0.682	1.173	-1.177	1.983	-0.103	1.239	-0.031	0.648	-0.676	0.402	-1.146	0.659	-0.120	0.425	0.0006	1.086
?	6.496	0.264	0.970	18.103	0.714	7.437	0.577	12.720	0.297	16.256	-0.0009	-0.784	-0.714	1.360	-0.309	1.210	-0.112	0.198	-0.953	3.138	-0.436	4.650	1.359	3.553	0.969	0.712	-0.700	1.069	-0.466	1.503	0.944	1.321	1.327	0.235	-0.647	2.326
?	6.912	0.341	1.985	17.192	0.142	4.821	-1.084	13.242	0.631	16.343	0.157	0.127	-0.142	2.296	1.173	1.067	-0.276	0.572	0.173	0.907	-0.790	2.272	-0.375	3.409	0.871	1.943	0.863	0.375	-0.811	0.890	-0.221	1.106	0.857	0.716	0.987	2.428
?	7.253	0.315	1.653	18.175	0.759	7.089	0.357	12.177	-0.051	14.461	-3.266	-0.856	-0.759	0.963	-0.936	1.081	-0.260	1.626	3.341	2.823	-0.486	3.251	0.339	3.600	1.001	2.698	1.821	1.026	-0.488	1.112	0.200	1.238	1.145	0.927	1.704	2.159
?	7.864	0.208	0.228	17.175	0.131	8.150	1.031	12.599	0.220	15.454	-1.459	0.143	-0.131	1.437	-0.187	0.792	-0.592	0.949	1.305	10.060	0.661	3.657	0.635	3.047	0.624	2.897	2.074	2.515	0.254	1.268	0.497	1.062	0.761	0.901	1.616	1.966
?	8.200	0.168	-0.303	16.096	-0.547	7.487	0.609	10.903	-0.868	16.265	0.016	1.222	0.547	1.486	-0.109	1.600	0.336	0.344	-0.513	1.327	-0.723	4.181	1.018	1.798	-0.229	1.083	-0.229	0.475	-0.762	1.573	1.076	0.651	-0.137	0.416	-0.032	2.088
fp	8.576	0.216	0.334	12.719	-2.668	5.357	-0.743	14.409	1.380	16.234	-0.041	4.599	2.668	1.345	-0.332	1.937	0.723	0.123	-1.177	26.548	3.274	0.738	-1.495	0.495	-1.119	0.511	-0.955	7.559	2.764	0.228	-1.476	0.164	-1.200	0.181	-0.829	3.305
?	9.456	0.168	-0.303	18.453	0.934	7.154	0.398	13.625	0.877	16.696	0.800	-1.134	-0.934	1.279	-0.437	1.092	-0.248	0.461	-0.162	3.928	-0.311	4.883	1.530	0.957	-0.803	1.084	-0.227	1.547	-0.228	1.542	1.018	0.293	-0.919	0.309	-0.396	2.182
?	9.752	0.168	-0.303	18.311	0.844	7.510	0.624	9.541	-1.741	17.167	1.656	-0.992	-0.844	0.811	-1.177	2.691	1.589	0.906	1.177	1.943	-0.626	1.828	-0.699	1.466	-0.456	0.648	-0.780	0.652	-0.674	0.567	-0.834	0.489	-0.489	0.191	-0.796	1.908
?	10.096	0.096	-1.257	16.574	-0.247	7.625	0.697	12.711	0.291	16.542	0.518	0.745	0.247	1.280	-0.435	0.467	-0.965	0.287	-0.685	14.130	1.306	3.863	0.785	1.273	-0.587	0.743	-0.661	4.042	1.014	1.267	0.495	0.495	-0.478	0.244	-0.617	2.292
fp	10.248	0.288	1.288	17.216	0.157	8.888	1.499	11.938	-0.204	15.579	-1.233	0.103	-0.157	1.935	0.602	0.640	-0.766	1.023	1.529	13.258	1.168	2.056	-0.533	1.911	-0.152	2.050	0.998	5.613	1.796	0.691	-0.598	0.672	-0.091	0.725	1.020	3.225
fp	10.632	0.144	-0.621	13.370	-2.259	6.302	-0.143	12.698	0.283	15.915	-0.621	3.949	2.259	0.437	-1.770	0.322	-1.131	0.344	-0.512	1.753	-0.656	1.215	-1.146	0.816	-0.899	0.425	-1.064	0.652	-0.673	0.370	-1.208	0.296	-0.912	0.153	-0.924	4.189
?	11.248	0.104	-1.151	16.230	-0.463	4.879	-1.047	14.631	1.522	16.337	0.147	1.089	0.463	1.847	0.462	2.140	0.955	0.121	-1.183	16.195	1.633	0.960	-1.333	0.841	-0.882	0.394	-1.103	4.554	1.269	0.266	-1.405	0.232	-1.051	0.111	-1.066	0.961
fp	11.744	0.224	0.440	16.930	-0.023	7.104	0.366	13.012	0.484	16.512	0.464	0.389	0.023	1.242	-0.496	0.947	-0.413	0.243	-0.815	0.762	-0.813	3.760	0.710	3.095	0.656	0.551	-0.904	0.292	-0.853	1.368	0.687	1.026	0.682	0.175	-0.851	2.723
?	12.152	0.144	-0.621	15.796	-0.735	3.159	-2.139	13.579	0.847	16.119	-0.251	1.523	0.735	2.907	2.140	1.850	0.623	1.105	1.776	0.591	-0.840	3.027	0.175	7.468	3.642	3.390	2.699	0.259	-0.869	1.152	0.276	2.183	3.209	1.262	2.842	-0.811
